epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.475,1.0673,3.01214,1.59147,0.51286,0.37711,0.38527,0.24436,1.47192,2.09692,1.66701,0.00331532,0.00331532,0.00331532
2,285.475,0.85313,1.63609,1.44562,0.34144,0.31469,0.24425,0.14992,1.66255,2.83638,1.9152,0.00660477,0.00660477,0.00660477
3,420.844,0.88916,1.60707,1.46164,0.33947,0.28353,0.22248,0.12753,1.54462,3.0749,1.91786,0.00985022,0.00985022,0.00985022
4,553.516,0.91236,1.65386,1.4757,0.4344,0.31825,0.29041,0.16679,1.498,2.67493,1.79835,0.009802,0.009802,0.009802
5,684.64,0.88204,1.5369,1.45752,0.5326,0.4407,0.45965,0.31488,1.28541,1.84882,1.65219,0.009736,0.009736,0.009736
6,816.257,0.8533,1.44557,1.43267,0.64054,0.50333,0.54384,0.34883,1.34983,1.81521,1.56805,0.00967,0.00967,0.00967
7,947.661,0.83463,1.39027,1.42223,0.57159,0.47069,0.4993,0.32829,1.28858,1.7864,1.59659,0.009604,0.009604,0.009604
8,1079.07,0.81257,1.32616,1.40468,0.65337,0.49387,0.5473,0.36031,1.24038,1.68199,1.50999,0.009538,0.009538,0.009538
9,1209.43,0.80544,1.28847,1.39486,0.68874,0.51387,0.57686,0.38336,1.2699,1.72184,1.55041,0.009472,0.009472,0.009472
10,1339.4,0.79557,1.25771,1.39237,0.71563,0.56508,0.63022,0.42261,1.21014,1.46529,1.47092,0.009406,0.009406,0.009406
11,1473.26,0.77357,1.21616,1.374,0.71834,0.57496,0.64191,0.43154,1.207,1.46896,1.46837,0.00934,0.00934,0.00934
12,1605.5,0.76469,1.18775,1.3647,0.75434,0.58644,0.66675,0.45078,1.15782,1.35552,1.40768,0.009274,0.009274,0.009274
13,1737.54,0.76607,1.18434,1.3682,0.75756,0.61257,0.6815,0.45741,1.19188,1.37621,1.44174,0.009208,0.009208,0.009208
14,1867.69,0.74881,1.14419,1.35341,0.71881,0.59718,0.66492,0.44671,1.17947,1.3855,1.39692,0.009142,0.009142,0.009142
15,1997.3,0.75504,1.12643,1.35386,0.7504,0.60604,0.68291,0.45791,1.16419,1.33096,1.41439,0.009076,0.009076,0.009076
16,2127.01,0.73711,1.11105,1.34174,0.75376,0.63043,0.70761,0.48506,1.11031,1.26968,1.35197,0.00901,0.00901,0.00901
17,2256.81,0.72949,1.08354,1.33514,0.76204,0.62452,0.70567,0.48796,1.12466,1.28044,1.3697,0.008944,0.008944,0.008944
